"Notes"	"County"	"County Code"	Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age	Average OE Gestational Age	Standard Deviation for Average OE Gestational Age
	"Pennington County, SD"	"46103"	7399	3311.643	578.649	27.518	5.467	38.703	2.400	38.488	1.954
	"Unidentified Counties, SD"	"46999"	102034	3343.061	572.557	27.329	5.511	38.647	2.414	38.651	2.018
	"Blount County, TN"	"47009"	15193	3270.783	584.856	26.854	5.819	38.436	2.335	38.251	1.955
	"Davidson County, TN"	"47037"	112367	3244.155	610.031	28.238	5.831	38.538	2.430	38.450	2.210
	"Hamilton County, TN"	"47065"	47238	3192.336	608.862	27.400	5.818	38.185	2.443	38.189	2.280
	"Knox County, TN"	"47093"	61462	3263.268	587.965	27.924	5.750	38.452	2.295	38.321	1.996
	"Montgomery County, TN"	"47125"	38390	3292.619	600.745	26.465	5.273	38.629	2.421	38.522	2.130
	"Rutherford County, TN"	"47149"	44870	3250.504	584.984	27.780	5.652	38.321	2.287	38.238	2.003
	"Shelby County, TN"	"47157"	160631	3137.290	631.697	26.699	6.000	38.228	2.855	38.208	2.486
	"Sullivan County, TN"	"47163"	18783	3249.415	586.935	26.482	5.840	38.510	2.408	38.368	2.039
	"Sumner County, TN"	"47165"	24074	3300.682	596.376	27.504	5.837	38.605	2.360	38.391	2.004
	"Washington County, TN"	"47179"	15710	3265.818	607.326	27.304	5.713	38.559	2.463	38.397	2.206
	"Williamson County, TN"	"47187"	25365	3356.286	567.610	30.930	5.311	38.575	2.042	38.498	1.843
	"Wilson County, TN"	"47189"	7529	3282.144	604.237	28.568	5.655	38.375	2.297	38.309	2.041
	"Unidentified Counties, TN"	"47999"	379340	3242.367	593.384	26.020	5.633	38.467	2.461	38.256	2.048
	"Bell County, TX"	"48027"	71373	3237.147	606.709	26.162	5.397	38.608	2.707	38.412	2.325
	"Bexar County, TX"	"48029"	276907	3214.936	578.644	27.497	6.016	38.343	2.531	38.219	2.171
	"Brazoria County, TX"	"48039"	53399	3245.159	582.145	28.021	5.957	38.378	2.441	38.241	2.113
	"Brazos County, TX"	"48041"	30683	3262.834	556.883	27.351	5.715	38.465	2.274	38.373	1.992
	"Cameron County, TX"	"48061"	83793	3204.745	557.944	26.277	6.215	38.280	2.505	38.161	2.096
	"Collin County, TX"	"48085"	123485	3268.504	575.586	30.194	5.581	38.466	2.301	38.314	2.009
	"Comal County, TX"	"48091"	6807	3282.348	566.951	28.842	5.720	38.467	2.414	38.335	2.059
	"Dallas County, TX"	"48113"	444680	3238.183	598.520	27.504	6.194	38.577	2.623	38.465	2.261
	"Denton County, TX"	"48121"	108776	3288.673	573.522	29.313	5.682	38.506	2.255	38.356	1.987
	"Ector County, TX"	"48135"	20432	3164.371	562.885	25.689	5.592	38.122	2.356	38.019	2.087
	"Ellis County, TX"	"48139"	24112	3302.899	587.590	27.111	5.804	38.595	2.442	38.422	2.101
	"El Paso County, TX"	"48141"	125857	3181.752	552.581	26.650	6.095	38.398	2.415	38.292	2.091
	"Fort Bend County, TX"	"48157"	93655	3214.238	576.746	30.088	5.706	38.269	2.278	38.184	2.048
	"Galveston County, TX"	"48167"	46046	3242.965	589.030	27.700	5.931	38.396	2.569	38.224	2.166
	"Grayson County, TX"	"48181"	18133	3253.989	580.760	26.050	5.750	38.486	2.478	38.289	1.991
	"Gregg County, TX"	"48183"	21958	3230.539	588.193	25.826	5.679	38.324	2.816	38.218	2.404
	"Guadalupe County, TX"	"48187"	8094	3258.627	592.672	28.532	5.674	38.392	2.427	38.230	2.156
	"Harris County, TX"	"48201"	700796	3215.360	591.758	27.893	6.121	38.361	2.517	38.248	2.215
	"Hays County, TX"	"48209"	11576	3302.558	577.354	29.003	5.798	38.603	2.336	38.446	2.009
	"Hidalgo County, TX"	"48215"	120727	3208.361	536.791	26.747	6.218	38.180	2.391	38.141	1.887
	"Jefferson County, TX"	"48245"	41076	3180.137	608.044	26.265	5.733	38.367	2.611	38.313	2.332
	"Johnson County, TX"	"48251"	24128	3306.287	581.234	26.445	5.747	38.624	2.419	38.392	2.018
	"Kaufman County, TX"	"48257"	7831	3274.599	580.764	27.777	5.581	38.506	2.298	38.349	1.993
	"Lubbock County, TX"	"48303"	43589	3187.656	568.447	26.469	5.677	38.344	2.404	38.195	2.052
	"McLennan County, TX"	"48309"	40963	3282.892	612.143	26.307	5.768	38.584	2.584	38.373	2.226
	"Midland County, TX"	"48329"	26599	3230.524	550.094	26.511	5.543	38.367	2.071	38.270	1.953
	"Montgomery County, TX"	"48339"	74245	3306.934	581.873	28.137	5.934	38.603	2.389	38.447	2.036
	"Nueces County, TX"	"48355"	33833	3238.130	576.360	27.171	5.917	38.311	2.416	38.176	2.032
	"Parker County, TX"	"48367"	7297	3316.679	559.903	28.073	5.568	38.706	2.275	38.503	1.815
	"Potter County, TX"	"48375"	23116	3184.017	593.891	25.556	5.774	38.447	2.632	38.353	2.336
	"Randall County, TX"	"48381"	18633	3249.992	571.941	27.098	5.471	38.556	2.378	38.425	2.090
	"Smith County, TX"	"48423"	35185	3267.410	588.469	26.761	5.793	38.591	2.672	38.451	2.321
	"Tarrant County, TX"	"48439"	323386	3255.703	590.267	27.771	5.988	38.506	2.445	38.365	2.156
	"Taylor County, TX"	"48441"	23239	3212.599	577.979	26.019	5.444	38.331	2.473	38.208	2.111
	"Tom Green County, TX"	"48451"	17168	3247.278	569.617	26.214	5.501	38.489	2.354	38.432	2.018
	"Travis County, TX"	"48453"	179034	3287.617	584.851	29.072	6.184	38.620	2.333	38.520	2.110
	"Webb County, TX"	"48479"	46650	3211.896	535.493	26.276	6.373	38.209	2.248	38.175	1.988
	"Wichita County, TX"	"48485"	20720	3261.345	585.481	25.867	5.542	38.460	2.199	38.376	2.078
	"Williamson County, TX"	"48491"	72099	3307.450	578.264	29.429	5.730	38.569	2.266	38.424	2.033
	"Unidentified Counties, TX"	"48999"	691400	3245.700	575.608	26.119	5.809	38.445	2.465	38.325	2.076
	"Cache County, UT"	"49005"	10848	3291.542	537.310	27.889	5.081	38.492	2.093	38.377	1.869
	"Davis County, UT"	"49011"	66600	3269.777	539.338	28.417	5.093	38.494	2.164	38.341	1.876
	"Salt Lake County, UT"	"49035"	198850	3260.290	560.912	28.281	5.552	38.615	2.361	38.452	2.021
	"Utah County, UT"	"49049"	136729	3316.139	545.813	27.952	5.032	38.675	2.140	38.505	1.869
	"Washington County, UT"	"49053"	10385	3310.773	557.540	28.096	5.364	38.633	2.157	38.485	1.895
	"Weber County, UT"	"49057"	45592	3232.407	548.440	27.077	5.323	38.500	2.330	38.316	1.956
	"Unidentified Counties, UT"	"49999"	115190	3254.106	541.031	27.303	5.381	38.529	2.232	38.355	1.899
	"Chittenden County, VT"	"50007"	18184	3380.362	600.107	30.165	5.583	39.087	2.408	38.868	2.073
	"Unidentified Counties, VT"	"50999"	52904	3362.056	586.504	28.218	5.825	39.119	2.414	38.895	2.031
	"Arlington County, VA"	"51013"	30219	3328.418	573.428	32.616	4.774	38.887	2.294	38.714	1.995
	"Chesterfield County, VA"	"51041"	41537	3286.375	600.400	29.262	5.701	38.783	2.689	38.324	2.109
	"Fairfax County, VA"	"51059"	137430	3297.096	579.862	31.749	5.185	38.710	2.332	38.529	2.035
	"Henrico County, VA"	"51087"	45507	3240.545	603.294	29.279	5.604	38.501	2.684	38.321	2.216
	"Loudoun County, VA"	"51107"	52369	3312.849	565.334	31.701	4.878	38.726	2.236	38.490	1.919
	"Prince William County, VA"	"51153"	62826	3301.200	603.231	29.814	5.724	38.721	2.535	38.481	2.183
	"Spotsylvania County, VA"	"51177"	7097	3319.222	606.344	28.782	5.549	38.812	2.571	38.478	2.198
	"Stafford County, VA"	"51179"	7844	3327.042	598.474	29.362	5.585	38.848	2.499	38.524	2.064
	"Alexandria city, VA"	"51510"	27047	3314.198	591.978	31.801	5.213	38.802	2.383	38.722	2.122
	"Chesapeake city, VA"	"51550"	33761	3258.716	621.820	28.024	5.715	38.689	2.702	38.396	2.312
	"Hampton city, VA"	"51650"	21301	3220.990	629.738	26.752	5.541	38.676	2.754	38.467	2.431
	"Newport News city, VA"	"51700"	34167	3223.565	627.951	26.626	5.473	38.678	2.748	38.467	2.397
	"Norfolk city, VA"	"51710"	43711	3188.442	635.672	26.446	5.641	38.576	2.887	38.324	2.492
	"Portsmouth city, VA"	"51740"	10988	3153.678	639.204	25.882	5.619	38.306	2.970	38.161	2.595
	"Richmond city, VA"	"51760"	33592	3141.739	641.899	27.326	6.074	38.310	2.967	38.214	2.580
	"Virginia Beach city, VA"	"51810"	71071	3287.318	603.875	28.220	5.631	38.768	2.562	38.496	2.221
	"Unidentified Counties, VA"	"51999"	466425	3278.096	609.640	27.543	5.865	38.784	2.652	38.547	2.206
	"Benton County, WA"	"53005"	28892	3335.746	578.519	27.495	5.706	38.641	2.348	38.474	2.002
	"Clark County, WA"	"53011"	64369	3378.964	578.726	28.415	5.761	38.866	2.351	38.768	1.989
	"Cowlitz County, WA"	"53015"	5863	3366.582	578.036	27.170	5.534	38.915	2.439	38.774	2.042
	"King County, WA"	"53033"	283875	3346.233	575.839	30.700	5.615	38.929	2.302	38.790	1.987
	"Kitsap County, WA"	"53035"	34341	3393.195	596.802	27.889	5.636	38.852	2.298	38.813	2.074
	"Pierce County, WA"	"53053"	131125	3358.182	590.184	27.844	5.620	38.875	2.478	38.688	2.078
	"Skagit County, WA"	"53057"	17323	3397.127	576.540	27.688	5.870	38.919	2.272	38.839	1.946
	"Snohomish County, WA"	"53061"	105931	3379.398	579.328	29.222	5.575	38.910	2.313	38.738	1.973
	"Spokane County, WA"	"53063"	70041	3328.933	577.559	27.706	5.554	38.863	2.383	38.660	1.994
	"Thurston County, WA"	"53067"	35695	3389.758	579.028	28.299	5.581	38.980	2.436	38.770	1.994
	"Whatcom County, WA"	"53073"	25992	3437.830	578.451	28.692	5.664	39.046	2.236	38.875	1.916
	"Yakima County, WA"	"53077"	45183	3320.860	571.671	26.762	6.007	38.730	2.551	38.582	2.014
	"Unidentified Counties, WA"	"53999"	153203	3364.777	573.892	27.263	5.812	38.894	2.412	38.701	1.965
	"Berkeley County, WV"	"54003"	6840	3312.905	600.886	27.499	5.558	38.782	2.600	38.528	2.085
	"Kanawha County, WV"	"54039"	25802	3220.199	601.000	26.593	5.752	38.226	2.532	38.034	2.082
	"Unidentified Counties, WV"	"54999"	208523	3234.500	600.078	26.337	5.676	38.539	2.577	38.330	2.124
	"Brown County, WI"	"55009"	40244	3333.560	584.407	28.116	5.482	38.714	2.439	38.582	2.053
	"Dane County, WI"	"55025"	71346	3356.128	589.196	29.862	5.354	38.906	2.381	38.797	2.081
	"Fond du Lac County, WI"	"55039"	5236	3324.758	580.907	28.387	5.212	38.683	2.390	38.477	2.055
	"Kenosha County, WI"	"55059"	23486	3296.067	594.491	27.731	5.834	38.627	2.462	38.512	2.088
	"La Crosse County, WI"	"55063"	15069	3379.414	592.715	28.518	5.318	39.003	2.330	39.033	2.065
	"Marathon County, WI"	"55073"	19301	3336.221	566.018	28.233	5.416	38.768	2.274	38.691	1.917
	"Milwaukee County, WI"	"55079"	168065	3222.908	621.781	27.477	5.983	38.568	2.764	38.474	2.366
	"Outagamie County, WI"	"55087"	27098	3334.126	584.470	28.660	5.205	38.594	2.326	38.470	2.026
	"Racine County, WI"	"55101"	28364	3276.018	610.871	27.589	5.746	38.559	2.640	38.465	2.239
	"Rock County, WI"	"55105"	23356	3314.334	591.449	27.247	5.638	38.721	2.501	38.573	2.058
	"Sheboygan County, WI"	"55117"	15276	3356.240	577.494	28.105	5.522	38.854	2.298	38.748	1.986
	"Walworth County, WI"	"55127"	4881	3345.225	578.606	28.858	5.405	38.871	2.362	38.569	1.946
	"Washington County, WI"	"55131"	16225	3356.424	562.392	29.518	5.127	38.710	2.186	38.594	1.904
	"Waukesha County, WI"	"55133"	45908	3352.021	569.633	30.386	5.068	38.728	2.282	38.584	1.955
	"Winnebago County, WI"	"55139"	22404	3329.373	582.469	28.215	5.343	38.621	2.386	38.521	2.041
	"Unidentified Counties, WI"	"55999"	279153	3374.320	581.371	28.068	5.489	38.860	2.334	38.725	1.994
	"Unidentified Counties, WY"	"56999"	85464	3197.914	550.801	27.026	5.543	38.637	2.341	38.469	2.015
"Total"			44416966	3267.173	593.586	28.114	5.985	38.610	2.511	38.475	2.149
"---"
"Dataset: Natality, 2007-2018"
"Query Parameters:"
"Age of Mother Year: 12 years and under; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years; 20 years; 21"
"years; 22 years; 23 years; 24 years; 25 years; 26 years; 27 years; 28 years; 29 years; 30 years; 31 years; 32 years; 33 years;"
"34 years; 35 years; 36 years; 37 years; 38 years; 39 years; 40 years; 41 years; 42 years; 43 years; 44 years; 45 years; 46"
"years; 47 years; 48 years; 49 years; 50 years and over"
"Mother's Education: 8th grade or less; 9th through 12th grade with no diploma; High school graduate or GED completed; Some"
"college credit, but not a degree; Associate degree (AA, AS); Bachelor's degree (BA, AB, BS); Master's degree (MA, MS, MEng, MEd,"
"MSW, MBA); Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD); Unknown or Not Stated; Excluded; Not Reported"
"Mother's Expanded Hispanic Origin: Non-Hispanic; Mexican; Puerto Rican; Cuban"
"Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino; Unknown or Not Stated"
"Year: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018"
"Group By: County"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Dec 17, 2019 1:16:15 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2018, on CDC"
"WONDER Online Database, September 2019. Accessed at http://wonder.cdc.gov/natality-current.html on Dec 17, 2019 1:16:15 PM"
"---"
Caveats:
"1. Each birth record represents one living baby."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties""."
"3. <p> About Education and Prenatal Care data: Education and Prenatal Care data have been recoded to ""Excluded"" for births to"
"mothers residing in a reporting area that used the 1989 U.S. Standard Certificate of Live Birth in the specified data year. All"
"reporting areas collect information on Education and Prenatal care, but information from the 2003 revision of the birth"
"certificate is not comparable to the information based on the earlier certificate. The following reporting areas have Education"
"and Prenatal Care data coded to ""Excluded"": Alabama, 2007-2013; Alaska 2007-2012; Arizona 2007-2013; Arkansas 2007-2013;"
"Connecticut 2007-2015; District of Columbia 2007-2009; Georgia 2007; Hawaii 2007-2013; Illinois 2007-2009; Louisiana 2007-2010;"
"Maine 2007-2013; Maryland 2007-2009; Massachusetts 2007-2011; Michigan 2007; Minnesota 2007-2011; Mississippi 2007-2012;"
"Missouri 2007-2009; Montana 2007; Nevada 2007-2009; New Jersey 2007-2015; New Mexico 2007; New York (only counties comprising"
"New York City) 2007; North Carolina 2007-2010; Oklahoma 2007-2009; Oregon 2007; Rhode Island 2007-2014; Utah 2007-2008; Virginia"
"2007-2012; West Virginia 2007-2013; Wisconsin 2007-2010. </p> <p> Note the change from preceding years: Natality data for years"
"2003-2006 in CDC WONDER excluded Education and Prenatal Care data for the reporting areas that had adopted the 2003 U.S."
"Standard Certificate of Live Birth. </p>"
"4. <p> As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the"
"data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because"
"they did not meet minimum population standards. Houston County, AL (01069); Navajo County, AZ (04017); Faulkner County, AR"
"(05045); Saline County, AR (05125); Bartow County, GA (13015); Carroll County, GA (13045); Columbia County, GA (13073); Coweta"
"County, GA (13077); Douglas County, GA (13097); Fayette County, GA (13113); Forsyth County, GA (13117); Lowndes County, GA"
"(13185); Paulding County, GA (13223); Whitfield County, GA (13313); Bonneville County, ID (16019); DeKalb County, IL (17037);"
"Kendall County, IL (17093); Clark County, IN (18019); Douglas County, KS (20045); Boone County, KY (21015); Hardin County, KY"
"(21093); Warren County, KY (21227); Ascension Parish, LA (22005); Bossier Parish, LA (22015); Livingston Parish, LA (22063);"
"Cecil County, MD (24015); St. Mary's County, MD (24037); Scott County, MN (27139); Wright County, MN (27171); Franklin County,"
"MO (29071); Missoula County, MT (30063); Sandoval County, NM (35043); Tompkins County, NY (36109); Brunswick County, NC (37019);"
"Craven County, NC (37049); Harnett County, NC (37085); Henderson County, NC (37089); Miami County, OH (39109); Canadian County,"
"OK (40017); Adams County, PA (42001); Dorchester County, SC (45035); Pennington County, SD (46103); Wilson County, TN (47189);"
"Comal County, TX (48091); Guadalupe County, TX (48187); Hays County, TX (48209); Kaufman County, TX (48257); Parker County, TX"
"(48367); Cache County, UT (49005); Washington County, UT (49053); Spotsylvania County, VA (51177); Stafford County, VA (51179);"
"Cowlitz County, WA (53015); Berkeley County, WV (54003); Fond du Lac County, WI (55039); Walworth County, WI (55127). </p> <p>"
"After 2013 the data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the"
"county because they did not meet minimum population standards. Cape May County, NJ (34009); Portsmouth city, VA (51740). </p>"
"5. Caution should be used when interpreting the Average Age of Mother measure. All ages 12 years and less are coded to 12 years."
"All ages 50 years and over are coded to 50 years. The number of counts in those two age goups are small and should not have a"
"great effect on the average age. Consider doing queries with and without these two age groups and compare the effect on Average"
"Age of Mother measure."
"6. Data for some counties in New York and Virginia have been revised for 2014 births based on updated residence population. More"
"information: http://wonder.cdc.gov/wonder/help/Natality.html#county_2014."
"7. Data in CDC WONDER for some counties in New York for 2009 births is slightly different than those previously published due to"
"updated residence population values use in CDC WONDER. More information:"
"http://wonder.cdc.gov/wonder/help/Natality.html#county_2009."
"8. Records where the ""Birth Weight"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Birth"
"Weight"" measure."
"9. Records where the gestation age is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Gestational"
"Age"" measure."
"10. Beginning in 2018 the category ""Dominican"" was added to ""Mother's Expanded Hispanic Origin"" and records were coded to"
"this category. Before 2018 there are no case counts for the ""Dominican"" category. Before 2018 case counts for ""Dominican"""
"were coded to the ""Other and Unknown Hispanic"" category, thus there is a discontinuity between 2017 and 2018 for the ""Other"
"and Unknown Hispanic"" category."
"11. Dade County, Florida (FIPS code 12025) was renamed Miami-Dade County (FIPS code 12086) effective November 13, 1997. The area"
"is coded to Miami-Dade (12086) after 2002 and Dade (12025) for earlier years in other natality datasets."
"12. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code"
"24005)."
"13. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code"
"29189)."
"14. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"15. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"16. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"17. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"18. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
